nohup: ignoring input
HTTP Server is running on port 80
HTTPS Server is running on port 443
Successfully connected to MongoDB
Got blogs
[2025-11-11T14:52:02.736Z] Blocked suspicious request from 62.169.18.6: GET /user/.env.staging
[2025-11-11T14:52:02.785Z] Blocked suspicious request from 62.169.18.6: GET /application/.env
[2025-11-11T14:52:02.835Z] Blocked suspicious request from 62.169.18.6: GET /new/.env.production
[2025-11-11T14:52:02.886Z] Blocked suspicious request from 62.169.18.6: GET /project/.env.staging
[2025-11-11T14:52:02.942Z] Blocked suspicious request from 62.169.18.6: GET /xampp/.env.local
[2025-11-11T14:52:03.000Z] Blocked suspicious request from 62.169.18.6: GET /product/.env
[2025-11-11T14:52:03.051Z] Blocked suspicious request from 62.169.18.6: GET /FRONTEND/.env
[2025-11-11T14:52:03.108Z] Blocked suspicious request from 62.169.18.6: GET /twitter/.env
[2025-11-11T14:52:03.160Z] Blocked suspicious request from 62.169.18.6: GET /prod/.env.production
[2025-11-11T14:52:03.215Z] Blocked suspicious request from 62.169.18.6: GET /.env.php
[2025-11-11T14:52:03.267Z] Blocked suspicious request from 62.169.18.6: GET /develop/.env.staging
[2025-11-11T14:52:03.323Z] Blocked suspicious request from 62.169.18.6: GET /.env.stage
[2025-11-11T14:52:03.376Z] Blocked suspicious request from 62.169.18.6: GET /beta/.env
[2025-11-11T14:52:03.433Z] Blocked suspicious request from 62.169.18.6: GET /backup/.env
[2025-11-11T14:52:03.485Z] Blocked suspicious request from 62.169.18.6: GET /project/.env.local
[2025-11-11T14:52:03.537Z] Blocked suspicious request from 62.169.18.6: GET /shop/.env.staging
[2025-11-11T14:52:04.592Z] Blocked suspicious request from 62.169.18.6: GET /.env.dev
[2025-11-11T14:52:04.647Z] Blocked suspicious request from 62.169.18.6: GET /staging/.env.staging
[2025-11-11T14:52:04.697Z] Blocked suspicious request from 62.169.18.6: GET /storage/.env.local
[2025-11-11T14:52:04.745Z] Blocked suspicious request from 62.169.18.6: GET /stg/.env.local
[2025-11-11T14:52:04.797Z] Blocked suspicious request from 62.169.18.6: GET /.env.prod
[2025-11-11T14:52:04.851Z] Blocked suspicious request from 62.169.18.6: GET /.env.staging
[2025-11-11T14:52:04.902Z] Blocked suspicious request from 62.169.18.6: GET /development/.env
[2025-11-11T14:52:04.951Z] Blocked suspicious request from 62.169.18.6: GET /.docker/laravel/app/.env
[2025-11-11T14:52:05.005Z] Blocked suspicious request from 62.169.18.6: GET /test/.env.production
[2025-11-11T14:52:05.063Z] Blocked suspicious request from 62.169.18.6: GET /client/.env
[2025-11-11T14:52:05.118Z] Blocked suspicious request from 62.169.18.6: GET /qa/.env.staging
[2025-11-11T14:52:05.228Z] Blocked suspicious request from 62.169.18.6: GET /public_html/.env.staging
[2025-11-11T14:52:05.283Z] Blocked suspicious request from 62.169.18.6: GET /portal/.env.staging
[2025-11-11T14:52:05.333Z] Blocked suspicious request from 62.169.18.6: GET /prod/.env.local
[2025-11-11T14:52:05.385Z] Blocked suspicious request from 62.169.18.6: GET /stg/.env
[2025-11-11T14:52:05.436Z] Blocked suspicious request from 62.169.18.6: GET /server/.env.local
[2025-11-11T14:52:05.486Z] Blocked suspicious request from 62.169.18.6: GET /new/.env.staging
[2025-11-11T14:52:05.535Z] Blocked suspicious request from 62.169.18.6: GET /crm/.env.staging
[2025-11-11T14:52:05.588Z] Blocked suspicious request from 62.169.18.6: GET /.env.dist
[2025-11-11T14:52:06.707Z] Blocked suspicious request from 62.169.18.6: GET /admin/.env.production
[2025-11-11T14:52:06.759Z] Blocked suspicious request from 62.169.18.6: GET /client/.env.local
[2025-11-11T14:52:06.810Z] Blocked suspicious request from 62.169.18.6: GET /apis/.env.staging
[2025-11-11T14:52:06.864Z] Blocked suspicious request from 62.169.18.6: GET /public_html/.env
[2025-11-11T14:52:06.921Z] Blocked suspicious request from 62.169.18.6: GET /production/.env
[2025-11-11T14:52:06.976Z] Blocked suspicious request from 62.169.18.6: GET /user/.env
[2025-11-11T14:52:07.029Z] Blocked suspicious request from 62.169.18.6: GET /.env~
[2025-11-11T14:52:07.086Z] Blocked suspicious request from 62.169.18.6: GET /live/.env.local
[2025-11-11T14:52:07.139Z] Blocked suspicious request from 62.169.18.6: GET /apis/.env
[2025-11-11T14:52:07.191Z] Blocked suspicious request from 62.169.18.6: GET /config.env
[2025-11-11T14:52:07.311Z] Blocked suspicious request from 62.169.18.6: GET /usr/.env
[2025-11-11T14:52:07.366Z] Blocked suspicious request from 62.169.18.6: GET /public/.env.production
[2025-11-11T14:52:07.415Z] Blocked suspicious request from 62.169.18.6: GET /backend/.env.local
[2025-11-11T14:52:07.473Z] Blocked suspicious request from 62.169.18.6: GET /product/.env.staging
[2025-11-11T14:52:07.526Z] Blocked suspicious request from 62.169.18.6: GET /apis/.env.local
[2025-11-11T14:52:07.583Z] Blocked suspicious request from 62.169.18.6: GET /public/.env.local
[2025-11-11T14:52:07.640Z] Blocked suspicious request from 62.169.18.6: GET /nodeapi/.env
[2025-11-11T14:52:07.696Z] Blocked suspicious request from 62.169.18.6: GET /app/.env.staging
[2025-11-11T14:52:07.751Z] Blocked suspicious request from 62.169.18.6: GET /portal/.env.production
[2025-11-11T14:52:07.804Z] Blocked suspicious request from 62.169.18.6: GET /development/.env.local
[2025-11-11T14:52:07.856Z] Blocked suspicious request from 62.169.18.6: GET /public_html/.env.local
[2025-11-11T14:52:07.908Z] Blocked suspicious request from 62.169.18.6: GET /config/.env
[2025-11-11T14:52:07.959Z] Blocked suspicious request from 62.169.18.6: GET /.env.bak
[2025-11-11T14:52:08.015Z] Blocked suspicious request from 62.169.18.6: GET /old/.env.local
[2025-11-11T14:52:08.067Z] Blocked suspicious request from 62.169.18.6: GET /front/.env
[2025-11-11T14:52:08.123Z] Blocked suspicious request from 62.169.18.6: GET /test/.env
[2025-11-11T14:52:08.175Z] Blocked suspicious request from 62.169.18.6: GET /cron/.env.production
[2025-11-11T14:52:08.232Z] Blocked suspicious request from 62.169.18.6: GET /.env.development.local
[2025-11-11T14:52:08.289Z] Blocked suspicious request from 62.169.18.6: GET /demo/.env
[2025-11-11T14:52:08.343Z] Blocked suspicious request from 62.169.18.6: GET /services/.env
[2025-11-11T14:52:08.396Z] Blocked suspicious request from 62.169.18.6: GET /BACKEND/.env
[2025-11-11T14:52:08.453Z] Blocked suspicious request from 62.169.18.6: GET /product/.env.local
[2025-11-11T14:52:08.512Z] Blocked suspicious request from 62.169.18.6: GET /beta/.env.staging
[2025-11-11T14:52:08.564Z] Blocked suspicious request from 62.169.18.6: GET /admin/.env
[2025-11-11T14:52:08.622Z] Blocked suspicious request from 62.169.18.6: GET /market/.env.staging
[2025-11-11T14:52:08.676Z] Blocked suspicious request from 62.169.18.6: GET /media/.env
[2025-11-11T14:52:08.726Z] Blocked suspicious request from 62.169.18.6: GET /laravel/core/.env.staging
[2025-11-11T14:52:08.777Z] Blocked suspicious request from 62.169.18.6: GET /api/.env.staging
[2025-11-11T14:52:08.832Z] Blocked suspicious request from 62.169.18.6: GET /service/.env.production
[2025-11-11T14:52:08.886Z] Blocked suspicious request from 62.169.18.6: GET /server/.env
[2025-11-11T14:52:08.938Z] Blocked suspicious request from 62.169.18.6: GET /portal/.env
[2025-11-11T14:52:08.992Z] Blocked suspicious request from 62.169.18.6: GET /admin/.env.local
[2025-11-11T14:52:09.047Z] Blocked suspicious request from 62.169.18.6: GET /xampp/.env.staging
[2025-11-11T14:52:09.100Z] Blocked suspicious request from 62.169.18.6: GET /lms/.env
[2025-11-11T14:52:09.156Z] Blocked suspicious request from 62.169.18.6: GET /backend/.env.production
[2025-11-11T14:52:09.213Z] Blocked suspicious request from 62.169.18.6: GET /kyc/.env.staging
[2025-11-11T14:52:09.268Z] Blocked suspicious request from 62.169.18.6: GET /marketing/.env.local
[2025-11-11T14:52:09.319Z] Blocked suspicious request from 62.169.18.6: GET /development/.env.staging
[2025-11-11T14:52:09.373Z] Blocked suspicious request from 62.169.18.6: GET /new/.env
[2025-11-11T14:52:09.430Z] Blocked suspicious request from 62.169.18.6: GET /xampp/.env
[2025-11-11T14:52:09.481Z] Blocked suspicious request from 62.169.18.6: GET /kyc/.env.production
[2025-11-11T14:52:09.538Z] Blocked suspicious request from 62.169.18.6: GET /services/.env.staging
[2025-11-11T14:52:09.593Z] Blocked suspicious request from 62.169.18.6: GET /client/.env.staging
[2025-11-11T14:52:09.643Z] Blocked suspicious request from 62.169.18.6: GET /xampp/.env.production
[2025-11-11T14:52:09.694Z] Blocked suspicious request from 62.169.18.6: GET /staging/.env.production
[2025-11-11T14:52:09.748Z] Blocked suspicious request from 62.169.18.6: GET /live/.env.production
[2025-11-11T14:52:09.806Z] Blocked suspicious request from 62.169.18.6: GET /service/.env
[2025-11-11T14:52:09.857Z] Blocked suspicious request from 62.169.18.6: GET /.gitlab-ci/.env
[2025-11-11T14:52:09.908Z] Blocked suspicious request from 62.169.18.6: GET /project/.env
[2025-11-11T14:52:09.959Z] Blocked suspicious request from 62.169.18.6: GET /dev/.env.production
[2025-11-11T14:52:10.014Z] Blocked suspicious request from 62.169.18.6: GET /laravel/.env.local
[2025-11-11T14:52:10.065Z] Blocked suspicious request from 62.169.18.6: GET /prod/.env
[2025-11-11T14:52:10.117Z] Blocked suspicious request from 62.169.18.6: GET /.env.save
[2025-11-11T14:52:10.168Z] Blocked suspicious request from 62.169.18.6: GET /client/.env.production
[2025-11-11T14:52:10.220Z] Blocked suspicious request from 62.169.18.6: GET /current/.env
[2025-11-11T14:52:10.276Z] Blocked suspicious request from 62.169.18.6: GET /service/.env.staging
[2025-11-11T14:52:10.326Z] Blocked suspicious request from 62.169.18.6: GET /backup/.env.production
[2025-11-11T14:52:10.376Z] Blocked suspicious request from 62.169.18.6: GET /.env.local
[2025-11-11T15:15:26.250Z] Blocked suspicious request from 92.112.200.39: GET /.env
